Informazioni cronologiche,Sesso,Quanti anni compi nell'anno corrente 2025?,Qual è l'ultimo titolo di studi che hai conseguito?,Hai mai frequentato un corso universitario o accademico che trattava anche solo in parte di storia medievale?,Regione,Provincia (sigla),Con quali modalità ti informi sul medioevo?,Qual è la tua opinione generale sul medioevo? [Medioevo],Indica la data o il secolo in cui secondo te inizia il medioevo,Perché? Inizio,Indica la data o il secolo in cui secondo te finisce il medioevo,Perché?  Fine, [Feudalesimo],[Superstizione],[Germanico],[Eroico],[Comunale],[Sperimentazione],[Cristiano],[Oscurantismo],[Rinascita],[Decadenza],Quali di questi termini associ più fortemente con la tua idea di medioevo? (Max 5 risposte),[Federico II di Svevia],[Teodorico],[Lorenzo il Magnifico],[Costantino],[Petrarca],[Dante],[Enrico VIII Tudor],[Francesco Hayez],[Leonardo da Vinci],[Martin Lutero],[Giustiniano],[Giotto],[San Francesco],[Sant’Agostino d’Ippona],[Giovanna d’Arco],[Matilde di Canossa],[Carlo Magno],[Riccardo Cuor di Leone],[San Tommaso d’Aquino],[Beato Angelico],Se volessi aggiungere un tuo commento facoltativo su cosa pensi sia il medioevo
28/03/2025 10.01.59,Donna,20-29,Laurea triennale,No,Lombardia,MB,Non mi informo,Neutrale,476,cade l’impero romano d’occidente,1492,viene scoperta l’America,4,4,2,3,3,2,5,3,3,4,"Invasioni Barbariche, Vassalli, Peste, Crociate, Caccia alle streghe","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",
28/03/2025 10.05.22,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,mb,"Libri, Non mi informo",Neutrale,476,caduta impero romano d’occidente ,1492,scoperta dell’america ,5,5,3,1,2,1,2,5,1,5,"Crociate, Invasioni Barbariche, Scoperta dell’America, Caccia alle streghe, Vassalli","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,un periodo buio
28/03/2025 10.08.36,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,BS,Non mi informo,Neutrale,476 dc ,Caduta impero romano ,1492,Scoperta dell’America  ,5,4,3,4,4,2,4,4,2,5,"Vassalli, Arabi, Ungari, Crociate, Peste","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Transizione 
28/03/2025 10.12.09,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,BG,"Libri, Podcast, Giochi di ruolo",Neutrale,476 dc,Fine dell'impero romano d'occidente,1492,Scoperta dell'america,5,4,4,4,4,2,4,3,3,2,"Invasioni Barbariche, Vassalli, Peste, Crociate, Caccia alle streghe","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Che viene spesso trattato anche a scuola come un periodo peggiore di quello che è 
28/03/2025 10.12.24,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,BG,"Libri, Videogiochi, Podcast",Neutrale,476 D.C. ,Perchè in quell'anno cadde l'Impero Romano d'Occidente ,1492,Scoperta dell'America ,5,4,4,4,4,2,4,3,3,2,"Crociate, Peste, Vassalli, Invasioni Barbariche, Caccia alle streghe","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Viene spesso spiegato come un periodo unicamente buio e di decadenza quando in realtà non lo è totalmente. 
28/03/2025 10.15.42,Donna,20-29,Laurea triennale,Sì,Lombardia,MB ,"Libri, Serie TV",Neutrale,476 d.C. ,Caduta dell'impero romano d'oriente ,1492,Scoperta dell'america ,3,3,2,2,3,2,3,4,1,4,"Repubbliche Marinare, Vassalli, Peste, Caccia alle streghe, Crociate",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 10.22.10,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,Bg,"Libri, Serie TV",Parzialmente positiva,Nel 400 DC,,1300,,3,5,1,4,1,1,4,3,2,2,"Savoia, Stato pontificio, Caccia alle streghe","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Per quanto so non sarebbe stato male viverci (principalmente per gli abiti spettacolari), ma solo se si era ricchi sfondati ;) "
28/03/2025 10.26.30,Donna,20-29,Diploma di istruzione liceale,Sì,Lombardia,MB,Non mi informo,Neutrale,476 d.c,caduta dell'impero romano d'occidente ,1492,scoperta dell'america ,4,4,3,4,3,4,5,1,3,3,"Crociate, Editto di Rotari, Invasioni Barbariche, Invenzione della stampa, Normanni","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 10.31.48,Donna,20-29,Laurea triennale,Sì,Lombardia,Mb,"Libri, Podcast, Serie TV",Parzialmente positiva,476 dc,Fine impero romano,1492,Scoperta delle Americhe ,5,5,3,3,3,4,3,4,5,4,"Caccia alle streghe, Peste, Vassalli","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Io medioevo è un periodo per lo più che ha portato grandi progressi, spesso sottovalutato dalla storia"
28/03/2025 10.32.17,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MI,"Libri, Videogiochi, Podcast",Parzialmente positiva,453 d.C,"Caduta dell'impero romano d'Occidente (ma non mi ricordo la data, scusa)",1492,Scoperta dell'America ,4,3,3,4,4,3,4,1,3,2,"Arabi, Editto di Rotari, Crociate, Repubbliche Marinare, Vassalli","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Epoca di riorganizzazione sociale e culturale 
28/03/2025 10.34.09,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,LC,"Libri, Videogiochi, Podcast",Parzialmente positiva,313 d.C.,Perché secondo me è cominciato con l'editto di Costantino. Per me l'inizio del medioevo è l'inizio della diffusione del cattolicesimo in Europa.,1521,Data simbolo dell'inizio del protestantesimo.,5,2,4,5,5,4,5,4,3,2,"Invasioni Barbariche, Stato pontificio, Crociate, Arabi, Invenzione della stampa","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Epoca di grandi sconvolgimenti sociali ed economici influenzati dalla presenza della Chiesa
28/03/2025 10.41.11,Donna,20-29,Diploma di istruzione tecnica,No,Lombardia,MB,Libri,Parzialmente positiva,476dc,Mi ricordo che coincide con la caduta dell'impero romano ,1490,1479 circa perchè durò circa 1000 anni ,5,5,3,5,2,1,5,5,5,5,"Invasioni Barbariche, Repubbliche Marinare, Crociate, Peste, Savoia","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Un periodo di passagio tra ""l'antichità""e il Rinascimento "
28/03/2025 10.46.10,Donna,20-29,Laurea triennale,No,Lombardia,LC,"Libri, Videogiochi",Parzialmente negativa,400 DC,Caduta impero romano d'Occidente ,1300,Non so,5,5,4,5,4,2,5,4,2,3,"Vassalli, Stato pontificio, Crociate, Peste, Aratro",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 11.00.15,Uomo,20-29,Diploma di istruzione liceale,Sì,Lombardia,MB,"Videogiochi, Serie TV, Giochi di ruolo",Parzialmente negativa,476,Dopo la caduta dell'impero romano,1492,La scoperta dell'America ,4,4,3,1,2,2,4,5,1,4,"Repubbliche Marinare, Peste, Crociate, Caccia alle streghe, Vassalli",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Periodo buio e oscuro con molta perdita dei valori classici 
28/03/2025 11.00.27,Donna,20-29,Diploma di istruzione liceale,Sì,Lombardia,MI,"Libri, Serie TV, Video amatoriali su YouTube ",Neutrale,472,Caduta impero romano occidentale,1492,Scoperta america,4,4,3,4,1,1,5,2,3,2,"Stato pontificio, Peste, Vassalli, Caccia alle streghe, Crociate","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
28/03/2025 11.03.38,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MB ,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Parzialmente negativa,1088 DC ,prime crociate,1793,rivoluzione francese ,5,5,3,2,3,2,4,4,2,3,"Vassalli, Repubbliche Marinare, Caccia alle streghe, Crociate, Scoperta dell’America","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 11.06.53,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,CO,"Libri, Videogiochi, Podcast, Video su YouTube",Neutrale,1000 d.C.,Incoronazione di Carlo Magno,XV secolo,Corrisponde circa con l'inizio del Rinascimento ,5,4,4,3,4,1,5,2,2,2,"Invasioni Barbariche, Stato pontificio, Crociate, Vassalli, Invenzione della stampa","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Secondo me il Medioevo è un periodo raccontato male, non necessariamente così oscuro rispetto a come viene narrato. "
28/03/2025 11.10.01,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,MN,Non mi informo,Parzialmente negativa,476 dc caduta impero romano d’occidente ,inizia il periodo di declino ,1492 scoperta dell’America 1517 riforma protesta o 1400 caduta impero romano d’oriente ,sono cadute le premesse del medioevo ,5,4,5,2,3,3,5,4,1,3,"Peste, Stato pontificio, Aratro, Invasioni Barbariche, Crociate","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"il medioevo è un periodo di generale decadenza, caratterizzato dalla perdita di principi e caratterizzato da una forte cristianità."
28/03/2025 11.13.59,Uomo,50-59,Laurea magistrale,Sì,Lombardia,Bg,Libri,Neutrale,800,Incoronazione di Carlo Magno,1492,Scoperta America,5,3,4,3,5,3,5,2,3,3,"Invenzione della stampa, Repubbliche Marinare, Normanni, Stato pontificio, Arabi","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
28/03/2025 11.20.28,Donna,20-29,Laurea triennale,No,Lombardia,MB,"Libri, Serie TV",Neutrale,476 d.C,Caduta impero romano,1492,Scoperta dell’America,5,4,3,3,4,3,5,4,3,3,"Invenzione della stampa, Caccia alle streghe, Stato pontificio, Peste, Vassalli",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
28/03/2025 11.20.31,Donna,20-29,Laurea triennale,No,Lombardia,MB,"Libri, Serie TV",Neutrale,476 d.C,Caduta impero romano,1492,Scoperta dell’America,5,4,3,3,4,3,5,4,3,3,"Invenzione della stampa, Caccia alle streghe, Stato pontificio, Peste, Vassalli",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
28/03/2025 11.20.58,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MB,Videogiochi,Assolutamente negativa,496,Caduta dell'impero romano d'Occidente ,1492,Scoperta dell'America ,5,5,4,5,4,2,5,5,2,5,"Stato pontificio, Peste, Repubbliche Marinare, Vassalli, Caccia alle streghe","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Ottima arte
28/03/2025 11.21.40,Uomo,20-29,Licenza media,No,Lombardia,MB,"Libri, Internet",Parzialmente positiva,476,Caduta dell'impero romano d'occidente ,1492,Scoperta dell'America e inizio delle nuove espansioni ,3,5,4,5,1,1,3,3,3,2,"Aratro, Normanni, Caccia alle streghe, Savoia, Crociate","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",Il medioevo penso sia una delle epoce che il mondo abbia vissuto e mi ritengo molto fortunato a poterlo studiare e apprendere quello che sia successo nel passato 
28/03/2025 11.23.49,Uomo,20-29,Diploma di istruzione liceale,Sì,Lombardia,Mb,"Libri, Podcast",Neutrale,"476 dc, caduta impero romano d’Occidente ",Convenzionalmente ,"1492, scoperta america",Convenzionalmente ,4,5,3,3,4,1,4,3,3,2,"Stato pontificio, Aratro, Caccia alle streghe, Invasioni Barbariche, Peste","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Nonostante ne sappia a grandi linee, ritengo che la storia sia talmente importante da dover essere valorizzata in ogni percorso di studio. Quella medievale, ne è un tassello fondamentale. "
28/03/2025 11.27.13,Uomo,20-29,Laurea triennale,Sì,Lombardia,MI,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Parzialmente positiva,476 d.C.,con la caduta dell'Impero Romano d'Occidente,1492,dura fino alla scoperta dell'America,5,3,4,4,4,3,4,4,3,4,"Peste, Scoperta dell’America, Normanni, Invasioni Barbariche, Stato pontificio","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",
