sesso,eta,titolo_studio,regione,corso_medievale,opinione_medioevo,eta_num,titolo_studio_num,opinione_num,corso_num,data_inizio,anno_inizio,cluster_inizio,motivo_inizio_cat,data_fine,anno_fine,cluster_fine,motivo_fine_cat,durata_medioevo,termini_associati,commento_aperto,sentiment_score,sentiment_class
Donna,20-29,Laurea triennale,Lombardia,No,Neutrale,24.5,6,3,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Invasioni Barbariche, Vassalli, Peste, Crociate, Caccia alle streghe",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Crociate, Invasioni Barbariche, Scoperta dell’America, Caccia alle streghe, Vassalli",un periodo buio,-1.0,Negativo
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,476 dc ,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Arabi, Ungari, Crociate, Peste",Transizione ,0.0,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,476 dc,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Invasioni Barbariche, Vassalli, Peste, Crociate, Caccia alle streghe",Che viene spesso trattato anche a scuola come un periodo peggiore di quello che è ,0.0,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,476 D.C. ,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Crociate, Peste, Vassalli, Invasioni Barbariche, Caccia alle streghe",Viene spesso spiegato come un periodo unicamente buio e di decadenza quando in realtà non lo è totalmente. ,-1.0,Negativo
Donna,20-29,Laurea triennale,Lombardia,Sì,Neutrale,24.5,6,3,1,476 d.C. ,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Repubbliche Marinare, Vassalli, Peste, Caccia alle streghe, Crociate",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente positiva,24.5,5,4,0,Nel 400 DC,400.0,476-500 (Caduta Impero Romano Occ.),Non specificato,1300,1300.0,Pre-1400 (Fine anticipata),Non specificato,900.0,"Savoia, Stato pontificio, Caccia alle streghe","Per quanto so non sarebbe stato male viverci (principalmente per gli abiti spettacolari), ma solo se si era ricchi sfondati ;) ",0.0,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,Sì,Neutrale,24.5,5,3,1,476 d.c,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Crociate, Editto di Rotari, Invasioni Barbariche, Invenzione della stampa, Normanni",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,Sì,Parzialmente positiva,24.5,6,4,1,476 dc,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Caccia alle streghe, Peste, Vassalli","Io medioevo è un periodo per lo più che ha portato grandi progressi, spesso sottovalutato dalla storia",1.0,Positivo
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente positiva,24.5,5,4,0,453 d.C,453.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1039.0,"Arabi, Editto di Rotari, Crociate, Repubbliche Marinare, Vassalli",Epoca di riorganizzazione sociale e culturale ,0.0,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente positiva,24.5,5,4,0,313 d.C.,313.0,Pre-476 (ante caduta Roma),Costantino,1521,1521.0,1518+ (Fine posticipata),Riforma protestante,1208.0,"Invasioni Barbariche, Stato pontificio, Crociate, Arabi, Invenzione della stampa",Epoca di grandi sconvolgimenti sociali ed economici influenzati dalla presenza della Chiesa,0.0,Neutrale/Misto
Donna,20-29,Diploma di istruzione tecnica,Lombardia,No,Parzialmente positiva,24.5,4,4,0,476dc,,Non specificato,Caduta Roma,1490,1490.0,1454-1492 (Scoperta America),Altro,,"Invasioni Barbariche, Repubbliche Marinare, Crociate, Peste, Savoia","Un periodo di passagio tra ""l'antichità""e il Rinascimento ",0.0,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,No,Parzialmente negativa,24.5,6,2,0,400 DC,400.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1300,1300.0,Pre-1400 (Fine anticipata),Altro,900.0,"Vassalli, Stato pontificio, Crociate, Peste, Aratro",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,Sì,Parzialmente negativa,24.5,5,2,1,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Repubbliche Marinare, Peste, Crociate, Caccia alle streghe, Vassalli",Periodo buio e oscuro con molta perdita dei valori classici ,-1.0,Negativo
Donna,20-29,Diploma di istruzione liceale,Lombardia,Sì,Neutrale,24.5,5,3,1,472,472.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1020.0,"Stato pontificio, Peste, Vassalli, Caccia alle streghe, Crociate",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente negativa,24.5,5,2,0,1088 DC ,1088.0,1000+ (Basso Medioevo),Altro,1793,1793.0,1518+ (Fine posticipata),Altro,705.0,"Vassalli, Repubbliche Marinare, Caccia alle streghe, Crociate, Scoperta dell’America",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,1000 d.C.,1000.0,800-1000 (Impero Carolingio),Carlo Magno,XV secolo,1450.0,1400-1453 (Caduta Costantinopoli),Rinascimento,450.0,"Invasioni Barbariche, Stato pontificio, Crociate, Vassalli, Invenzione della stampa","Secondo me il Medioevo è un periodo raccontato male, non necessariamente così oscuro rispetto a come viene narrato. ",-1.0,Negativo
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente negativa,24.5,5,2,0,476 dc caduta impero romano d’occidente ,476.0,476-500 (Caduta Impero Romano Occ.),Altro,1492 scoperta dell’America 1517 riforma protesta o 1400 caduta impero romano d’oriente ,1492.0,1454-1492 (Scoperta America),Altro,1016.0,"Peste, Stato pontificio, Aratro, Invasioni Barbariche, Crociate","il medioevo è un periodo di generale decadenza, caratterizzato dalla perdita di principi e caratterizzato da una forte cristianità.",-1.0,Negativo
Uomo,50-59,Laurea magistrale,Lombardia,Sì,Neutrale,54.5,7,3,1,800,800.0,600-800 (Periodo pre-carolingio),Carlo Magno,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,692.0,"Invenzione della stampa, Repubbliche Marinare, Normanni, Stato pontificio, Arabi",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,No,Neutrale,24.5,6,3,0,476 d.C,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Invenzione della stampa, Caccia alle streghe, Stato pontificio, Peste, Vassalli",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,No,Neutrale,24.5,6,3,0,476 d.C,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Invenzione della stampa, Caccia alle streghe, Stato pontificio, Peste, Vassalli",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Assolutamente negativa,24.5,5,1,0,496,496.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,996.0,"Stato pontificio, Peste, Repubbliche Marinare, Vassalli, Caccia alle streghe",Ottima arte,0.0,Neutrale/Misto
Uomo,20-29,Licenza media,Lombardia,No,Parzialmente positiva,24.5,2,4,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Aratro, Normanni, Caccia alle streghe, Savoia, Crociate",Il medioevo penso sia una delle epoce che il mondo abbia vissuto e mi ritengo molto fortunato a poterlo studiare e apprendere quello che sia successo nel passato ,0.0,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,Sì,Neutrale,24.5,5,3,1,"476 dc, caduta impero romano d’Occidente ",476.0,476-500 (Caduta Impero Romano Occ.),Altro,"1492, scoperta america",1492.0,1454-1492 (Scoperta America),Ricordi scolastici,1016.0,"Stato pontificio, Aratro, Caccia alle streghe, Invasioni Barbariche, Peste","Nonostante ne sappia a grandi linee, ritengo che la storia sia talmente importante da dover essere valorizzata in ogni percorso di studio. Quella medievale, ne è un tassello fondamentale. ",1.0,Positivo
Uomo,20-29,Laurea triennale,Lombardia,Sì,Parzialmente positiva,24.5,6,4,1,476 d.C.,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Peste, Scoperta dell’America, Normanni, Invasioni Barbariche, Stato pontificio",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,No,Parzialmente negativa,24.5,6,2,0,476 dc ,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Invasioni Barbariche, Peste, Crociate, Stato pontificio, Caccia alle streghe",,,Neutrale/Misto
Uomo,50-59,Diploma di istruzione tecnica,Lombardia,No,Parzialmente positiva,54.5,4,4,0,Quinto secolo,,Non specificato,Ricordi scolastici,Decimo secolo,,Non specificato,Ricordi scolastici,,"Peste, Crociate, Scoperta dell’America, Normanni, Aratro",Era di scoperte,0.0,Neutrale/Misto
Uomo,20-29,Laurea triennale,Lazio,No,Neutrale,24.5,6,3,0,5 secolo d.c.,450.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1455/1492,1455.0,1454-1492 (Scoperta America),Scoperta America,1005.0,"Vassalli, Caccia alle streghe, Normanni, Invasioni Barbariche, Crociate",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lazio,Sì,Parzialmente positiva,24.5,5,4,1,476 d.c,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Arabi, Normanni, Crociate, Vassalli, Editto di Rotari",Uno dei periodi più affascinanti e curiosi. Oltre ad una passione preesistente anche le lezioni del Professor Barbero hanno influito sulla mia cultura generale in merito,0.0,Neutrale/Misto
Uomo,30-39,Diploma di istruzione tecnica,Lombardia,Sì,Neutrale,34.5,4,3,1,1000 circa,1000.0,800-1000 (Impero Carolingio),Ricordi scolastici,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,492.0,"Peste, Caccia alle streghe, Stato pontificio, Crociate","Penso sia uno dei periodi più romanzati di tutti. Affascinante perchè crudo, violento e onesto nelle certezze che contraddistinguevano quel periodo. Anche oggi mette in evidenza criticità ancora applicabili nell'attuale struttura contemporanea. In generale penso sia stato un periodo buio per l'umanità.",-0.3333333333333333,Negativo
Uomo,20-29,Diploma di istruzione tecnica,Lombardia,No,Parzialmente positiva,24.5,4,4,0,480 d.C.,480.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1012.0,"Peste, Caccia alle streghe, Savoia, Normanni, Vassalli",,,Neutrale/Misto
Uomo,30-39,Laurea magistrale,Lombardia,No,Neutrale,34.5,7,3,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Crociate, Stato pontificio, Vassalli, Caccia alle streghe, Peste",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione tecnica,Lombardia,No,Parzialmente negativa,24.5,4,2,0,V secolo ,450.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1042.0,"Stato pontificio, Crociate, Scoperta dell’America, Repubbliche Marinare, Aratro",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,Sì,Assolutamente negativa,24.5,6,1,1,1000,1000.0,800-1000 (Impero Carolingio),Altro,1400,1400.0,1400-1453 (Caduta Costantinopoli),Altro,400.0,"Crociate, Vassalli, Scoperta dell’America",,,Neutrale/Misto
Donna,50-59,Diploma di istruzione tecnica,Lombardia,No,Parzialmente positiva,54.5,4,4,0,Fine 800,800.0,600-800 (Periodo pre-carolingio),Non specificato,1100,1100.0,Pre-1400 (Fine anticipata),Non specificato,300.0,"Stato pontificio, Caccia alle streghe, Vassalli",,,Neutrale/Misto
Donna,40-49,Laurea magistrale,Calabria,No,Assolutamente negativa,44.5,7,1,0,1300,1300.0,1000+ (Basso Medioevo),Ricordi scolastici,1600,1600.0,1518+ (Fine posticipata),Ricordi scolastici,300.0,"Caccia alle streghe, Peste, Crociate",Un periodo buio,-1.0,Negativo
Donna,50-59,Diploma di istruzione liceale,Lombardia,No,Neutrale,54.5,5,3,0,475/480,475.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1017.0,"Peste, Caccia alle streghe, Aratro, Vassalli",Epoca affascinante di grandi cambiamenti ma anche di superstizioni che limitavano la vita delle donne,1.0,Positivo
Donna,20-29,Laurea triennale,Lombardia,Sì,Parzialmente positiva,24.5,6,4,1,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Peste, Invasioni Barbariche, Crociate, Stato pontificio, Arabi",,,Neutrale/Misto
Uomo,20-29,Laurea triennale,Lombardia,No,Neutrale,24.5,6,3,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,7 ottobre 1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Savoia, Peste, Stato pontificio, Repubbliche Marinare",,,Neutrale/Misto
Uomo,20-29,Laurea triennale,Lombardia,Sì,Neutrale,24.5,6,3,1,476 d.C.,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Editto di Rotari, Arabi, Normanni, Peste",,,Neutrale/Misto
Uomo,40-49,Laurea triennale,Lombardia,No,Assolutamente positiva,44.5,6,5,0,1000,1000.0,800-1000 (Impero Carolingio),Altro,1400,1400.0,1400-1453 (Caduta Costantinopoli),Altro,400.0,"Aratro, Stato pontificio, Vassalli, Peste, Crociate",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,476 d.C.,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1000 d.C.,1000.0,Pre-1400 (Fine anticipata),Ricordi scolastici,524.0,"Peste, Caccia alle streghe",,,Neutrale/Misto
Uomo,40-49,Diploma di istruzione liceale,Lombardia,No,Parzialmente negativa,44.5,5,2,0,Non lo so di preciso ,,Non specificato,Altro,1462,1462.0,1454-1492 (Scoperta America),Scoperta America,,"Crociate, Vassalli, Invasioni Barbariche, Stato pontificio",Un’epoca buia dominata dalla superstizione ed ingiustizia ,-1.0,Negativo
Uomo,20-29,Laurea triennale,Lombardia,No,Neutrale,24.5,6,3,0,476 dC,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Caccia alle streghe, Crociate, Invasioni Barbariche, Vassalli, Stato pontificio",Fertilizzante per il periodo successivo,0.0,Neutrale/Misto
Uomo,70-79,Licenza media,Lombardia,No,Parzialmente negativa,75.0,2,2,0,1000,1000.0,800-1000 (Impero Carolingio),Altro,1400,1400.0,1400-1453 (Caduta Costantinopoli),Altro,400.0,"Scoperta dell’America, Repubbliche Marinare",,,Neutrale/Misto
Donna,18-19,Licenza media,Lombardia,No,Parzialmente negativa,18.5,2,2,0,1200,1200.0,1000+ (Basso Medioevo),Altro,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,292.0,"Aratro, Caccia alle streghe, Crociate, Repubbliche Marinare, Peste",,,Neutrale/Misto
Donna,40-49,Diploma di istruzione tecnica,Lombardia,No,Neutrale,44.5,4,3,0,1000,1000.0,800-1000 (Impero Carolingio),Altro,1300,1300.0,Pre-1400 (Fine anticipata),Altro,300.0,"Stato pontificio, Crociate, Scoperta dell’America, Vassalli, Caccia alle streghe",Il medioevo… periodo oscuro che porta l’uomo a molte scoperte e sperimentazioni,-1.0,Negativo
Donna,40-49,Laurea triennale,Lombardia,No,Parzialmente negativa,44.5,6,2,0,Circa dal 500,500.0,476-500 (Caduta Impero Romano Occ.),Non specificato,Circa 1500,1500.0,1493-1517 (Riforma protestante),Non specificato,1000.0,"Aratro, Peste, Caccia alle streghe",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,Sì,Parzialmente positiva,24.5,6,4,1,476 dc,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1453,1453.0,1400-1453 (Caduta Costantinopoli),Caduta Costantinopoli,977.0,"Aratro, Peste, Vassalli, Crociate, Caccia alle streghe","So che vengono considerati degli anni “bui” ma in realtà si tratta di un periodo con molte scoperte, molti studi e tanti artisti e opere",0.0,Neutrale/Misto
Donna,70-79,Licenza media,Lombardia,No,Neutrale,75.0,2,3,0,1000 c.a.,1000.0,800-1000 (Impero Carolingio),Non specificato,1500 c.a.p,1500.0,1493-1517 (Riforma protestante),Non specificato,500.0,"Repubbliche Marinare, Crociate, Invasioni Barbariche, Scoperta dell’America, Stato pontificio",,,Neutrale/Misto
Uomo,50-59,Licenza media,Lombardia,No,Assolutamente negativa,54.5,2,1,0,600,600.0,500-600 (Alto Medioevo),Altro,1600,1600.0,1518+ (Fine posticipata),Altro,1000.0,"Vassalli, Caccia alle streghe, Aratro, Peste, Crociate",Uno dei momenti bui della storia ,0.0,Neutrale/Misto
Uomo,30-39,Diploma di istruzione tecnica,Lombardia,No,Neutrale,34.5,4,3,0,Nel 495 dc,495.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1200,1200.0,Pre-1400 (Fine anticipata),Rinascimento,705.0,"Vassalli, Crociate, Caccia alle streghe, Peste, Stato pontificio",L'inquisizione ha fatto danni,0.0,Neutrale/Misto
Uomo,20-29,Laurea triennale,Lombardia,No,Parzialmente negativa,24.5,6,2,0,476 d.C.,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1500 d.C. circa,1500.0,1493-1517 (Riforma protestante),Altro,1024.0,"Vassalli, Caccia alle streghe, Invasioni Barbariche, Crociate",L'epoca peggiore in cui vivere,0.0,Neutrale/Misto
Donna,50-59,Diploma di istruzione professionale,Lombardia,No,Assolutamente negativa,54.5,3,1,0,476 d.C.,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Caccia alle streghe, Crociate, Peste",,,Neutrale/Misto
Uomo,70-79,Licenza media,Lombardia,No,Parzialmente positiva,75.0,2,4,0,900 c.a.,900.0,800-1000 (Impero Carolingio),Caduta Roma,1300 c.a.,1300.0,Pre-1400 (Fine anticipata),Scoperta America,400.0,"Vassalli, Caccia alle streghe, Crociate, Normanni",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,Sì,Neutrale,24.5,5,3,1,476 d.C,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Aratro, Crociate, Editto di Rotari, Repubbliche Marinare","È un’epoca molto vasta, si potrebbe dire tutto e il contrario di tutto su questo periodo ",0.0,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente negativa,24.5,5,2,0,6 secolo,550.0,500-600 (Alto Medioevo),Non specificato,1492,1492.0,1454-1492 (Scoperta America),Non specificato,942.0,"Crociate, Peste, Vassalli, Aratro, Caccia alle streghe",,,Neutrale/Misto
Uomo,30-39,Laurea magistrale,Lombardia,No,Parzialmente negativa,34.5,7,2,0,Dal V secolo,450.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,XV secolo ,1450.0,1400-1453 (Caduta Costantinopoli),Scoperta America,1000.0,"Peste, Invenzione della stampa, Vassalli, Invasioni Barbariche, Crociate",Un percorso di rinascita,1.0,Positivo
Uomo,20-29,Diploma di istruzione tecnica,Lombardia,No,Parzialmente positiva,24.5,4,4,0,400 d.c.,400.0,476-500 (Caduta Impero Romano Occ.),Altro,1200,1200.0,Pre-1400 (Fine anticipata),Altro,800.0,"Crociate, Vassalli, Invasioni Barbariche",,,Neutrale/Misto
Uomo,20-29,Laurea magistrale,Lombardia,Sì,Neutrale,24.5,7,3,1,476 d.c.,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Aratro, Peste, Repubbliche Marinare, Crociate",Un periodo di frammentazione della sovranità. Bisognerebbe farvi riferimento più spesso per cogliere alcune trasformazioni dell'attuale sistema internazionale.,0.0,Neutrale/Misto
Donna,50-59,Diploma di istruzione tecnica,Lombardia,No,Parzialmente negativa,54.5,4,2,0,Fine 400,400.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1092.0,"Stato pontificio, Caccia alle streghe, Crociate",,,Neutrale/Misto
Uomo,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente positiva,24.5,5,4,0,V secolo d.C.,450.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,"Secondo me il 1500 è un secolo di transizione, quindi secondo me si potrebbe considerare medioevo anche il XVI secolo",1550.0,1518+ (Fine posticipata),Scoperta America,1100.0,"Vassalli, Peste, Stato pontificio, Caccia alle streghe, Normanni","Si potrebbe definire un periodo di decadenza nella sua prima parte ma ci sono state molte innovazioni, idee e opere artistiche che hanno portato alla rinascita di diverse aree geografiche ",0.0,Neutrale/Misto
Donna,18-19,Licenza media,Lombardia,No,Parzialmente negativa,18.5,2,2,0,496 d.C.,496.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492 d.C.,1492.0,1454-1492 (Scoperta America),Scoperta America,996.0,"Vassalli, Invasioni Barbariche, Caccia alle streghe, Crociate, Stato pontificio",,,Neutrale/Misto
Uomo,40-49,Laurea triennale,Lombardia,No,Neutrale,44.5,6,3,0,nel 476 dc,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492 dc,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Caccia alle streghe, Stato pontificio, Crociate, Peste",,,Neutrale/Misto
Uomo,20-29,Laurea triennale,Liguria,No,Parzialmente negativa,24.5,6,2,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Peste, Caccia alle streghe, Vassalli, Invasioni Barbariche, Crociate",,,Neutrale/Misto
Non-Binario,20-29,Diploma di istruzione tecnica,Lombardia,No,Parzialmente positiva,24.5,4,4,0,1000,1000.0,800-1000 (Impero Carolingio),Non specificato,1400,1400.0,1400-1453 (Caduta Costantinopoli),Non specificato,400.0,"Caccia alle streghe, Crociate, Peste",,,Neutrale/Misto
